transaction_id,date,description,amount,type,balance
B0047,2023-01-01,BP GAS #1775,46.48,DEBIT,4953.52
B0092,2023-01-01,BP GAS #4099,51.53,DEBIT,4901.99
B0015,2023-01-02,CAFE #6311,108.21,DEBIT,4793.78
B0084,2023-01-02,TRADER JOES,137.35,DEBIT,4656.43
B0142,2023-01-04,KROGER #6864,198.14,DEBIT,4458.29
B0251,2023-01-09,KROGER #5496,158.43,DEBIT,4299.86
B0017,2023-01-10,bp gas #7420,72.16,DEBIT,4227.7
B0110,2023-01-12,ONLINE PMT WATER,147.29,DEBIT,4080.41
B0124,2023-01-14,AMAZON.COM,19.24,DEBIT,4061.17
B0184,2023-01-14,WHOLE FOODS #3931,147.3,DEBIT,3913.87
B0105,2023-01-15,AUTO INS,247.31,DEBIT,3666.56
B0021,2023-01-17,HEALTH INS PMT,171.26,DEBIT,3495.3
B0120,2023-01-17,ONLINE PMT ELEC CO,142.99,DEBIT,3352.31
B0037,2023-01-19,CHEVRON #9838,58.3,DEBIT,3294.01
B0220,2023-01-20,MONTHLY FEE,20.45,DEBIT,3273.56
B0038,2023-01-21,ONLINE TRANSFER,499.15,DEBIT,2774.41
B0175,2023-01-22,HEALTH INS PMT,430.01,DEBIT,2344.4
B0282,2023-01-23,EBAY PURCHASE,290.54,DEBIT,2053.86
B0025,2023-01-26,DIRECT DEP PAYROLL,4437.99,CREDIT,6491.85
B0028,2023-01-26,ATM WD 3734,153.5,DEBIT,6338.35
B0023,2023-01-28,SHELL #3558,37.42,DEBIT,6300.93
B0165,2023-01-28,RESTAURANT #5737,72.69,DEBIT,6228.24
B0029,2023-02-04,ONLINE ORDER #4005,130.08,DEBIT,6098.16
B0018,2023-02-05,NETFLIX,15.13,DEBIT,6083.03
B0042,2023-02-05,GYM MEMBERSHIP,24.04,DEBIT,6058.99
B0063,2023-02-05,AMAZON.COM,229.96,DEBIT,5829.03
B0032,2023-02-07,ACH CREDIT SALARY,3511.77,CREDIT,9340.8
B0050,2023-02-07,ONLINE TRANSFER,887.44,DEBIT,8453.36
B0102,2023-02-08,KROGER #9110,205.21,DEBIT,8248.15
B0265,2023-02-08,KROGER #8022,169.06,DEBIT,8079.09
B0230,2023-02-09,CAFE #2648,35.66,DEBIT,8043.43
B0178,2023-02-12,NETFLIX,13.15,DEBIT,8030.28
B0153,2023-02-13,BISTRO #4304,86.38,DEBIT,7943.9
B0002,2023-02-14,CHEVRON #1860,36.27,DEBIT,7907.63
B0186,2023-02-14,DINER #1197,116.92,DEBIT,7790.71
B0189,2023-02-14,ONLINE ORDER #7287,103.15,DEBIT,7687.56
B0260,2023-02-17,ATM WITHDRAWAL #9754,126.19,DEBIT,7561.37
B0083,2023-02-20,MONTHLY FEE,25.64,DEBIT,7535.73
B0159,2023-02-21,XFER TO SAVINGS,1357.67,DEBIT,6178.06
B0034,2023-02-24,TRADER JOES,100.83,DEBIT,6077.23
B0198,2023-02-24,EBAY PURCHASE,83.9,DEBIT,5993.33
B0126,2023-02-25,AMAZON.COM,158.59,DEBIT,5834.74
B0207,2023-02-26,CHECK #3385,625.33,DEBIT,5209.41
B0001,2023-02-27,AMAZON.COM,226.34,DEBIT,4983.07
B0238,2023-02-27,INSURANCE PMT,392.84,DEBIT,4590.23
B0065,2023-02-28,ONLINE TRANSFER,1932.97,DEBIT,2657.26
B0291,2023-02-28,AMAZON.COM,115.32,DEBIT,2541.94
B0231,2023-03-01,RESTAURANT #6539,44.51,DEBIT,2497.43
B0122,2023-03-06,SAFEWAY #7019,59.07,DEBIT,2438.36
B0125,2023-03-06,ATM WITHDRAWAL #7374,137.87,DEBIT,2300.49
B0157,2023-03-07,RESTAURANT #7585,91.77,DEBIT,2208.72
B0036,2023-03-08,XFER TO SAVINGS,407.01,DEBIT,1801.71
B0133,2023-03-08,GYM MEMBERSHIP,33.45,DEBIT,1768.26
B0269,2023-03-09,DIRECT DEPOSIT,2874.78,CREDIT,4643.04
B0308,2023-03-09,MISC TRANSACTION 9096,115.81,DEBIT,4527.23
B0173,2023-03-10,CAFE #2707,58.47,DEBIT,4468.76
B0202,2023-03-10,DINER #9680,94.11,DEBIT,4374.65
B0174,2023-03-11,WHOLE FOODS #6791,191.79,DEBIT,4182.86
B0188,2023-03-13,TRADER JOES,207.03,DEBIT,3975.83
B0244,2023-03-15,CK #6699,923.27,DEBIT,3052.56
B0051,2023-03-17,WHOLE FOODS #4943,228.0,DEBIT,2824.56
B0123,2023-03-17,ONLINE TRANSFER,626.82,DEBIT,2197.74
B0081,2023-03-18,KROGER #3568,62.46,DEBIT,2135.28
B0056,2023-03-20,CK #8989,157.81,DEBIT,1977.47
B0268,2023-03-20,AMAZON.COM,105.25,DEBIT,1872.22
B0187,2023-03-22,ONLINE PMT ELEC CO,200.63,DEBIT,1671.59
B0181,2023-03-23,CK #5389,228.5,DEBIT,1443.09
B0200,2023-03-23,TRADER JOES,249.17,DEBIT,1193.92
B0303,2023-03-28,MISC TRANSACTION 4009,490.55,DEBIT,703.37
B0061,2023-04-04,EXXON #1995,45.41,DEBIT,657.96
B0072,2023-04-04,DINER #5859,45.15,DEBIT,612.81
B0288,2023-04-06,SAFEWAY #2184,126.09,DEBIT,486.72
B0152,2023-04-07,AMAZON.COM,187.43,DEBIT,299.29
B0096,2023-04-08,RESTAURANT #8215,73.28,DEBIT,226.01
B0258,2023-04-09,KROGER #2693,212.12,DEBIT,13.89
B0109,2023-04-12,ONLINE PMT GAS CO,225.07,DEBIT,-211.18
B0041,2023-04-13,SAFEWAY#8513,116.68,DEBIT,-327.86
B0245,2023-04-15,TRADER JOES,177.57,DEBIT,-505.43
B0301,2023-04-16,MISC TRANSACTION 5014,306.53,DEBIT,-811.96
B0263,2023-04-17,ATM 1225 CASH,60.37,DEBIT,-872.33
B0158,2023-04-20,SAFEWAY #2291,239.27,DEBIT,-1111.6
B0289,2023-04-20,CHECK #4327,350.51,DEBIT,-1462.11
B0004,2023-04-21,TRADER JOES,65.95,DEBIT,-1528.06
B0140,2023-04-21,ONLINE PMT GAS CO,99.35,DEBIT,-1627.41
B0201,2023-04-21,KROGER #2843,54.97,DEBIT,-1682.38
B0233,2023-04-22,ONLINE TRANSFER,186.05,DEBIT,-1868.43
B0020,2023-04-26,safeway #4385,114.31,DEBIT,-1982.74
B0131,2023-04-27,AUTO INS,251.68,DEBIT,-2234.42
B0076,2023-04-29,SAFEWAY #8208,192.86,DEBIT,-2427.28
B0259,2023-05-05,AMAZON.COM,100.49,DEBIT,-2527.77
B0276,2023-05-05,EBAY PURCHASE,122.18,DEBIT,-2649.95
B0287,2023-05-05,KROGER #7102,158.14,DEBIT,-2808.09
B0299,2023-05-07,ONLINE TRANSFER,1762.14,DEBIT,-4570.23
B0163,2023-05-09,WHOLE FOODS #4696,176.44,DEBIT,-4746.67
B0080,2023-05-10,ATM 9006 CASH,51.94,DEBIT,-4798.61
B0279,2023-05-10,WHOLE FOODS #1301,191.62,DEBIT,-4990.23
B0216,2023-05-12,EBAY PURCHASE,75.99,DEBIT,-5066.22
B0223,2023-05-12,EBAY PURCHASE,19.01,DEBIT,-5085.23
B0086,2023-05-17,TRADER JOES,59.64,DEBIT,-5144.87
B0093,2023-05-17,kroger #7278,235.17,DEBIT,-5380.04
B0010,2023-05-18,DINER #9322,45.04,DEBIT,-5425.08
B0246,2023-05-18,ATM WITHDRAWAL #5493,208.63,DEBIT,-5633.71
B0150,2023-05-21,ACH TRANSFER,768.69,DEBIT,-6402.4
B0180,2023-05-21,RESTAURANT #9958,118.1,DEBIT,-6520.5
B0193,2023-05-21,SHELL #1659,60.0,DEBIT,-6580.5
B0007,2023-05-23,DINER #1466,85.39,DEBIT,-6665.89
B0071,2023-05-23,DIRECT DEPOSIT,2987.73,CREDIT,-3678.16
B0155,2023-05-26,CAFE #6232,93.75,DEBIT,-3771.91
B0055,2023-05-27,DIRECT DEPOSIT,3043.43,CREDIT,-728.48
B0111,2023-05-27,NETFLIX,34.27,DEBIT,-762.75
B0176,2023-05-27,TRADER JOES,221.74,DEBIT,-984.49
B0104,2023-05-28,CHECK #2028,772.09,DEBIT,-1756.58
B0108,2023-05-28,BP GAS #7938,37.95,DEBIT,-1794.53
B0221,2023-05-29,ONLINE TRANSFER,117.61,DEBIT,-1912.14
B0278,2023-05-30,ACH TRANSFER,1656.03,DEBIT,-3568.17
B0304,2023-05-30,MISC TRANSACTION 8806,307.73,DEBIT,-3875.9
B0213,2023-06-02,EBAY PURCHASE,283.32,DEBIT,-4159.22
B0127,2023-06-04,EXXON #2678,60.73,DEBIT,-4219.95
B0049,2023-06-08,CHECK #4152,825.91,DEBIT,-5045.86
B0146,2023-06-08,CAFE #6530,57.25,DEBIT,-5103.11
B0094,2023-06-09,WHOLE FOODS #9392,158.21,DEBIT,-5261.32
B0285,2023-06-09,BISTRO #1980,68.26,DEBIT,-5329.58
B0045,2023-06-10,EBAY PURCHASE,220.13,DEBIT,-5549.71
B0192,2023-06-15,TRADER JOES,115.93,DEBIT,-5665.64
B0211,2023-06-16,AMAZON.COM,164.76,DEBIT,-5830.4
B0270,2023-06-16,AMAZON.COM,18.52,DEBIT,-5848.92
B0274,2023-06-18,NETFLIX,23.38,DEBIT,-5872.3
B0101,2023-06-19,ONLINE ORDER #056,264.14,DEBIT,-6136.44
B0261,2023-06-19,AMAZON.COM,270.02,DEBIT,-6406.46
B0090,2023-06-20,DINER #4561,88.66,DEBIT,-6495.12
B0137,2023-06-23,online pmt water,81.04,DEBIT,-6576.16
B0204,2023-06-23,XFER TO SAVINGS,1534.43,DEBIT,-8110.59
B0098,2023-06-26,EXXON #9996,57.08,DEBIT,-8167.67
B0147,2023-06-28,ONLINE TRANSFER,1482.02,DEBIT,-9649.69
B0143,2023-07-01,SUBSCRIPTION #8526,25.87,DEBIT,-9675.56
B0172,2023-07-02,ATM WD 6172,116.54,DEBIT,-9792.1
B0121,2023-07-03,AAZON.COM,128.47,DEBIT,-9920.57
B0295,2023-07-03,ATM 1569 CASH,155.69,DEBIT,-10076.26
B0006,2023-07-05,GYM MEMBERSHIP,38.17,DEBIT,-10114.43
B0203,2023-07-05,TRADER JOES,60.07,DEBIT,-10174.5
B0113,2023-07-06,ONLINE ORDER #8721,40.69,DEBIT,-10215.19
B0114,2023-07-07,EXXON #8035,68.22,DEBIT,-10283.41
B0182,2023-07-07,ONLINE ORDER #3327,124.11,DEBIT,-10407.52
B0290,2023-07-07,KROGER #4394,85.4,DEBIT,-10492.92
B0132,2023-07-11,WHOLE FOODS 4157,185.8,DEBIT,-10678.72
B0235,2023-07-13,CAFE #6592,32.62,DEBIT,-10711.34
B0209,2023-07-14,SPOTIFY,42.86,DEBIT,-10754.2
B0215,2023-07-14,CHEVRON #1262,67.74,DEBIT,-10821.94
B0100,2023-07-15,NETFLIX,49.53,DEBIT,-10871.47
B0044,2023-07-17,WHOLE FOODS #7235,97.22,DEBIT,-10968.69
B0059,2023-07-19,ATM WD 1161,207.28,DEBIT,-11175.97
B0264,2023-07-19,online order #5893,124.4,DEBIT,-11300.37
B0141,2023-07-22,SAFEWAY #7776,46.58,DEBIT,-11346.95
B0066,2023-07-23,CAFE #8892,43.84,DEBIT,-11390.79
B0026,2023-07-25,SUBSCRIPTION #3747,16.58,DEBIT,-11407.37
B0196,2023-07-27,CHECK #7546,508.19,DEBIT,-11915.56
B0227,2023-07-27,TRADER JOES,186.51,DEBIT,-12102.07
B0154,2023-07-29,DINER #4763,89.5,DEBIT,-12191.57
B0040,2023-07-30,ONLINE TRANSFER,606.93,DEBIT,-12798.5
B0306,2023-07-30,MISC TRANSACTION 2409,496.62,DEBIT,-13295.12
B0232,2023-08-01,BP GAS #5199,57.56,DEBIT,-13352.68
B0243,2023-08-02,CK #9352,234.3,DEBIT,-13586.98
B0058,2023-08-03,CAFE #6675,96.01,DEBIT,-13682.99
B0138,2023-08-03,DINER #6592,57.39,DEBIT,-13740.38
B0062,2023-08-04,ONLINE PMT WATER,221.93,DEBIT,-13962.31
B0024,2023-08-05,WHOLE FOODS #8849,102.1,DEBIT,-14064.41
B0134,2023-08-05,ACH TRANSFER,1939.96,DEBIT,-16004.37
B0136,2023-08-08,TRADER JOES,169.84,DEBIT,-16174.21
B0144,2023-08-08,AMAZON.COM,217.21,DEBIT,-16391.42
B0170,2023-08-08,ONLINE PMT GAS CO,184.52,DEBIT,-16575.94
B0272,2023-08-11,WHOLE FOODS #8339,131.33,DEBIT,-16707.27
B0033,2023-08-13,WHOLE FOODS #2267,170.39,DEBIT,-16877.66
B0177,2023-08-14,BISTRO #4510,57.21,DEBIT,-16934.87
B0082,2023-08-15,AUTO INS,408.05,DEBIT,-17342.92
B0128,2023-08-16,INSURANCE PMT,419.78,DEBIT,-17762.7
B0183,2023-08-16,BISTRO #9004,79.52,DEBIT,-17842.22
B0296,2023-08-16,CHECK #642,250.53,DEBIT,-18092.75
B0149,2023-08-18,AMAZON.COM,261.31,DEBIT,-18354.06
B0161,2023-08-18,ACH TRANSFER,1114.62,DEBIT,-19468.68
B0054,2023-08-19,BP GAS #2021,65.07,DEBIT,-19533.75
B0164,2023-08-19,ONLINE PMT ELEC CO,105.05,DEBIT,-19638.8
B0286,2023-08-20,CHECK #3975,160.46,DEBIT,-19799.26
B0085,2023-08-21,CHECK #6258,718.65,DEBIT,-20517.91
B0169,2023-08-23,online order #8392,46.59,DEBIT,-20564.5
B0297,2023-08-23,ONLINE TRANSFER,1144.48,DEBIT,-21708.98
B0005,2023-08-24,MAINT FEE,34.33,DEBIT,-21743.31
B0069,2023-08-24,HEALTH INS PMT,195.9,DEBIT,-21939.21
B0145,2023-08-24,AMAZON.COM,40.12,DEBIT,-21979.33
B0162,2023-08-25,BISTRO #2636,98.92,DEBIT,-22078.25
B0249,2023-08-27,DINER #7015,86.63,DEBIT,-22164.88
B0115,2023-08-28,KROGER #2484,73.86,DEBIT,-22238.74
B0089,2023-08-29,KROGER #6892,232.79,DEBIT,-22471.53
B0167,2023-08-29,CHECK #9164,653.81,DEBIT,-23125.34
B0250,2023-08-29,SERVICE CHARGE,32.86,DEBIT,-23158.2
B0218,2023-08-30,CAFE #3049,89.71,DEBIT,-23247.91
B0234,2023-08-30,DIRECT DEP PAYROLL,3074.18,CREDIT,-20173.73
B0048,2023-08-31,BP GAS #9226,61.35,DEBIT,-20235.08
B0075,2023-08-31,DINER #9684,75.44,DEBIT,-20310.52
B0205,2023-08-31,CAFE #6759,68.41,DEBIT,-20378.93
B0074,2023-09-01,CK #9571,503.36,DEBIT,-20882.29
B0262,2023-09-01,EBAY PURCHASE,28.27,DEBIT,-20910.56
B0219,2023-09-02,BP GAS #6423,65.24,DEBIT,-20975.8
B0225,2023-09-02,KROGER #3255,236.84,DEBIT,-21212.64
B0228,2023-09-02,TRADER JOES,138.27,DEBIT,-21350.91
B0214,2023-09-03,ONLINE PMT WATER,175.28,DEBIT,-21526.19
B0248,2023-09-03,KROGER #4987,187.6,DEBIT,-21713.79
B0275,2023-09-03,TRADER JOES,81.42,DEBIT,-21795.21
B0135,2023-09-04,ONLINE ORDER #4627,256.47,DEBIT,-22051.68
B0070,2023-09-05,BP GAS #1878,52.42,DEBIT,-22104.1
B0284,2023-09-05,ATM WITHDRAWAL #1190,102.72,DEBIT,-22206.82
B0035,2023-09-08,SHELL #4556,71.21,DEBIT,-22278.03
B0079,2023-09-09,ACH TRANSFER,1758.17,DEBIT,-24036.2
B0266,2023-09-09,BISTRO #6600,58.8,DEBIT,-24095.0
B0273,2023-09-11,AMAZON.COM,145.49,DEBIT,-24240.49
B0095,2023-09-13,KROGER #4104,149.32,DEBIT,-24389.81
B0240,2023-09-15,TRADER JOES,93.0,DEBIT,-24482.81
B0257,2023-09-15,ATM WITHDRAWAL #7893,208.73,DEBIT,-24691.54
B0016,2023-09-17,ONLINE ORDER #6051,58.56,DEBIT,-24750.1
B0068,2023-09-17,ACH CREDIT SALARY,2525.3,CREDIT,-22224.8
B0097,2023-09-17,DINER #3454,102.95,DEBIT,-22327.75
B0293,2023-09-19,KROGER #6854,130.74,DEBIT,-22458.49
B0305,2023-09-21,MISC TRANSACTION 1154,111.02,DEBIT,-22569.51
B0052,2023-09-23,CHECK #8555,145.2,DEBIT,-22714.71
B0283,2023-09-23,XFER TO SAVINGS,946.98,DEBIT,-23661.69
B0241,2023-09-24,ONLINE ORDER #3869,132.86,DEBIT,-23794.55
B0222,2023-09-26,EXXON #8158,70.57,DEBIT,-23865.12
B0171,2023-09-27,DIRECT DEPOSIT,3280.91,CREDIT,-20584.21
B0236,2023-09-28,RESTAURANT #1098,94.15,DEBIT,-20678.36
B0302,2023-09-30,MISC TRANSACTION 2686,318.59,DEBIT,-20996.95
B0060,2023-10-01,ONLINE ORDER #5297,273.47,DEBIT,-21270.42
B0078,2023-10-01,CK #3062,346.88,DEBIT,-21617.3
B0103,2023-10-01,SUBSCRIPTION #4840,48.16,DEBIT,-21665.46
B0280,2023-10-01,BISTRO #1606,112.73,DEBIT,-21778.19
B0281,2023-10-02,INSURANCE PMT,341.45,DEBIT,-22119.64
B0229,2023-10-03,XFER TO SAVINGS,1547.53,DEBIT,-23667.17
B0019,2023-10-04,TRADER JOES,191.15,DEBIT,-23858.32
B0254,2023-10-05,WHOLE FOODS #9050,152.41,DEBIT,-24010.73
B0298,2023-10-05,CAFE #3733,97.2,DEBIT,-24107.93
B0237,2023-10-06,MONTHLY FEE,23.3,DEBIT,-24131.23
B0003,2023-10-07,CHECK #6390,298.4,DEBIT,-24429.63
B0277,2023-10-07,ONLINE ORDER #3327,209.29,DEBIT,-24638.92
B0129,2023-10-08,EBAY PURCHASE,123.56,DEBIT,-24762.48
B0091,2023-10-09,DINER #7184,68.21,DEBIT,-24830.69
B0191,2023-10-10,WHOLE FOODS #5282,202.4,DEBIT,-25033.09
B0046,2023-10-11,ONLINE PMT GAS CO,112.61,DEBIT,-25145.7
B0027,2023-10-12,ONLINE TRANSFER,394.11,DEBIT,-25539.81
B0073,2023-10-12,ONLINE PMT ELEC CO,167.83,DEBIT,-25707.64
B0053,2023-10-14,EXXON #4073,73.0,DEBIT,-25780.64
B0247,2023-10-14,EBAY PURCHASE,151.63,DEBIT,-25932.27
B0117,2023-10-15,AMAZON.COM,275.85,DEBIT,-26208.12
B0106,2023-10-17,RESTAURANT #1502,100.29,DEBIT,-26308.41
B0252,2023-10-19,DINER #5735,72.43,DEBIT,-26380.84
B0022,2023-10-20,AUTO INS,291.8,DEBIT,-26672.64
B0099,2023-10-20,WHOLE FOODS #3731,92.88,DEBIT,-26765.52
B0195,2023-10-20,TRADER JOES,171.71,DEBIT,-26937.23
B0271,2023-10-20,TRADER JOES,185.49,DEBIT,-27122.72
B0226,2023-10-21,MONTHLY FEE,16.54,DEBIT,-27139.26
B0190,2023-10-22,SPOTIFY,15.0,DEBIT,-27154.26
B0208,2023-10-24,ONLINE TRANSFER,1470.66,DEBIT,-28624.92
B0043,2023-10-25,TRADER JOES,52.84,DEBIT,-28677.76
B0012,2023-10-26,CAE #1769,59.39,DEBIT,-28737.15
B0030,2023-10-26,ONLINE ORDER #5658,281.39,DEBIT,-29018.54
B0107,2023-10-26,AUTO INS,219.66,DEBIT,-29238.2
B0057,2023-10-27,ACH TRANSFER,1727.79,DEBIT,-30965.99
B0217,2023-10-28,ONLINE ORDER #9815,84.1,DEBIT,-31050.09
B0077,2023-10-29,SERVICE CHARGE,34.51,DEBIT,-31084.6
B0300,2023-10-29,SUBSCRIPTION #8455,44.43,DEBIT,-31129.03
B0292,2023-10-30,AMAZON.COM,206.55,DEBIT,-31335.58
B0067,2023-11-04,CHECK #7863,816.6,DEBIT,-32152.18
B0148,2023-11-05,SAFEWAY #4748,200.84,DEBIT,-32353.02
B0179,2023-11-05,DINER #5218,65.48,DEBIT,-32418.5
B0088,2023-11-06,RESTAURANT #1391,27.46,DEBIT,-32445.96
B0197,2023-11-07,DINER #2986,54.7,DEBIT,-32500.66
B0168,2023-11-08,SERVICE CHARGE,12.78,DEBIT,-32513.44
B0185,2023-11-10,SAFEWAY #8777,187.27,DEBIT,-32700.71
B0199,2023-11-12,NETFLIX,19.92,DEBIT,-32720.63
B0206,2023-11-12,BISTRO #7694,105.05,DEBIT,-32825.68
B0256,2023-11-12,EBAY PURCHASE,202.9,DEBIT,-33028.58
B0139,2023-11-13,XFER TO SAVINGS,1380.54,DEBIT,-34409.12
B0267,2023-11-13,DIRECT DEP PAYROLL,4096.11,CREDIT,-30313.01
B0039,2023-11-14,CAFE #9792,39.68,DEBIT,-30352.69
B0255,2023-11-19,NETFLIX,12.71,DEBIT,-30365.4
B0224,2023-11-24,AMAZON.COM,250.69,DEBIT,-30616.09
B0253,2023-11-25,SERVICE CHARGE,21.52,DEBIT,-30637.61
B0011,2023-11-26,HEALTH INS PMT,192.86,DEBIT,-30830.47
B0031,2023-11-27,AMAZON.COM,145.31,DEBIT,-30975.78
B0151,2023-11-27,ACH CREDIT SALARY,3730.02,CREDIT,-27245.76
B0294,2023-11-27,CHECK #7709,599.42,DEBIT,-27845.18
B0008,2023-11-28,CHECK #5426,648.22,DEBIT,-28493.4
B0118,2023-11-29,ONLINE PMT GAS CO,99.83,DEBIT,-28593.23
B0166,2023-11-29,ACH CREDIT SALARY,4082.76,CREDIT,-24510.47
B0307,2023-12-02,MISC TRANSACTION 1784,365.64,DEBIT,-24876.11
B0194,2023-12-04,whole foods #3811,217.72,DEBIT,-25093.83
B0064,2023-12-09,BP GAS #8869,57.56,DEBIT,-25151.39
B0116,2023-12-11,DINER #8858,88.87,DEBIT,-25240.26
B0239,2023-12-11,ONLINE ORDER #5973,84.75,DEBIT,-25325.01
B0212,2023-12-13,DINER #7616,89.67,DEBIT,-25414.68
B0242,2023-12-14,ONLINE ORDER #1956,173.42,DEBIT,-25588.1
B0013,2023-12-15,KROGER #7949,167.26,DEBIT,-25755.36
B0014,2023-12-15,ATM 3433 CASH,52.07,DEBIT,-25807.43
B0112,2023-12-15,ONLINE ORDER #6977,194.05,DEBIT,-26001.48
B0009,2023-12-19,AMAZON.COM,210.12,DEBIT,-26211.6
B0210,2023-12-20,BISTRO #9155,63.99,DEBIT,-26275.59
B0160,2023-12-21,SAFEWAY #8554,192.84,DEBIT,-26468.43
B0119,2023-12-23,EBAY PURCHASE,182.39,DEBIT,-26650.82
B0156,2023-12-24,AMAZON.COM,51.75,DEBIT,-26702.57
B0087,2023-12-25,ONLINE PMT GAS O,240.25,DEBIT,-26942.82
B0130,2023-12-26,XFER TO SAVINGS,1720.31,DEBIT,-28663.13
